Date,종가,수익률,거래량,is_anomaly
2019-08-16,22246,-0.0033600645132386,5401950,0
2019-08-19,22387,0.0063382181066258,4833747,0
2019-08-20,22608,0.0098718005985616,5559410,0
2019-08-21,22652,0.0019462137296533,7396126,0
2019-08-22,22469,-0.0080787568426629,5609705,0
2019-08-23,22447,-0.0009791267969202,5786907,0
2019-08-26,22121,-0.0145230988550808,4162070,0
2019-08-27,22187,0.002983590253605,3951287,0
2019-08-28,22403,0.0097354306575923,3752317,0
2019-08-29,22284,-0.0053117885997411,5944610,0
2019-08-30,22652,0.0165140908274996,5482448,0
2019-09-02,22692,0.0017658484901994,6012969,0
2019-09-03,22603,-0.0039220870791468,6023033,0
2019-09-04,22937,0.0147767995398839,4792429,0
2019-09-05,23140,0.0088503291624886,6864221,0
2019-09-06,23247,0.0046240276577356,7392817,0
2019-09-09,23432,0.0079580160880974,3990542,0
2019-09-10,23534,0.0043530215090474,4434068,0
2019-09-11,23707,0.0073510665420242,4549828,0
2019-09-16,23784,0.0032479858269709,4158821,0
2019-09-17,23776,-0.0003363605785401,6547982,0
2019-09-18,23904,0.0053835800807537,4512041,0
2019-09-19,24064,0.0066934404283802,5519742,0
2019-09-20,24196,0.0054853723404255,5690312,0
2019-09-23,24227,0.0012812035047116,4396292,0
2019-09-24,24371,0.0059437817311265,5815379,0
2019-09-25,24021,-0.0143613310902301,6275820,0
2019-09-26,24064,0.0017901003288789,5634771,0
2019-09-27,23812,-0.010472074468085,3823869,0
2019-09-30,24011,0.0083571308583907,4753887,0
2019-10-01,24068,0.0023739119570196,2505419,0
2019-10-02,23559,-0.0211484128303141,5642345,0
2019-10-04,23458,-0.0042871089604822,6007202,0
2019-10-07,23499,0.0017478045869212,4096592,0
2019-10-08,23845,0.0147240308098217,4949480,0
2019-10-10,23674,-0.0071713147410358,7595944,0
2019-10-11,23841,0.0070541522345188,6144804,0
2019-10-14,24087,0.010318359129231,5623986,0
2019-10-15,24116,0.0012039689459044,4181030,0
2019-10-16,24251,0.0055979432741748,5943390,0
2019-10-17,24173,-0.0032163622118676,5201091,0
2019-10-18,23932,-0.0099698010176643,6725758,0
2019-10-21,24068,0.0056827678422195,4488650,0
2019-10-22,24388,0.0132956622901778,6295358,0
2019-10-23,24240,-0.0060685583073643,5327886,0
2019-10-24,24306,0.0027227722772276,6168899,0
2019-10-25,24326,0.0008228420966016,5595692,0
2019-10-28,24419,0.0038230699662911,4459875,0
2019-10-29,24368,-0.0020885376141529,6003560,0
2019-10-30,24181,-0.0076739986868024,10274525,0
2019-10-31,24275,0.003887349571978,9664470,0
2019-11-01,24460,0.0076210092687951,7009377,0
